User_ID,Subscription_Type,Monthly_Revenue,Country,Age,Gender,Device
75,Basic,13,Germany,28,Female,Laptop
155,Basic,14,Germany,28,Male,Tablet
485,Basic,14,Germany,28,Female,Tablet
660,Basic,12,Germany,28,Male,Smart TV
1365,Standard,10,Germany,28,Female,Smartphone
1695,Basic,14,Germany,28,Female,Smartphone
2010,Basic,13,Germany,28,Male,Laptop
184,Standard,13,Australia,28,Female,Laptop
244,Premium,15,Australia,28,Male,Smartphone
314,Basic,10,Australia,28,Male,Laptop
404,Premium,13,Australia,28,Male,Smartphone
424,Premium,12,Australia,28,Female,Tablet
764,Basic,15,Australia,28,Male,Smart TV
809,Premium,10,Australia,28,Male,Smartphone
1349,Premium,14,Australia,28,Male,Laptop
1724,Premium,12,Australia,28,Male,Laptop
1994,Standard,11,Australia,28,Male,Laptop
1,Basic,10,United States,28,Male,Smartphone
31,Premium,15,United States,28,Female,Smart TV
61,Premium,15,United States,28,Female,Laptop
431,Premium,15,United States,28,Male,Smart TV
491,Premium,12,United States,28,Female,Smartphone
536,Basic,10,United States,28,Male,Smart TV
610,Premium,13,United States,28,Female,Tablet
653,Standard,11,United States,28,Female,Smartphone
698,Standard,10,United States,28,Male,Laptop
745,Basic,11,United States,28,Female,Laptop
836,Basic,15,United States,28,Male,Laptop
923,Standard,13,United States,28,Male,Tablet
1058,Basic,15,United States,28,Female,Smart TV
1238,Standard,12,United States,28,Female,Smartphone
1750,Basic,15,United States,28,Female,Smartphone
1823,Standard,10,United States,28,Male,Tablet
73,Standard,12,United Kingdom,28,Female,Laptop
273,Standard,12,United Kingdom,28,Female,Laptop
403,Standard,13,United Kingdom,28,Male,Smartphone
483,Standard,14,United Kingdom,28,Male,Smart TV
883,Standard,15,United Kingdom,28,Female,Tablet
2128,Standard,10,United Kingdom,28,Female,Tablet
2293,Standard,12,United Kingdom,28,Male,Tablet
2443,Standard,13,United Kingdom,28,Female,Laptop
220,Basic,12,Italy,29,Male,Tablet
545,Basic,14,Italy,29,Male,Smart TV
635,Basic,13,Italy,29,Male,Laptop
725,Basic,12,Italy,29,Female,Tablet
815,Basic,15,Italy,29,Male,Smartphone
980,Basic,11,Italy,29,Male,Smart TV
1880,Basic,15,Italy,29,Male,Smart TV
2060,Basic,12,Italy,29,Male,Smart TV
99,Standard,12,Spain,29,Female,Tablet
229,Standard,13,Spain,29,Male,Smartphone
269,Standard,13,Spain,29,Female,Laptop
561,Premium,14,Spain,29,Female,Laptop
936,Premium,15,Spain,29,Male,Tablet
1012,Basic,15,Spain,29,Female,Smartphone
1354,Standard,13,Spain,29,Male,Tablet
1822,Basic,15,Spain,29,Female,Tablet
1836,Premium,12,Spain,29,Female,Smart TV
1909,Standard,12,Spain,29,Male,Smart TV
1941,Premium,13,Spain,29,Female,Smart TV
2089,Standard,10,Spain,29,Male,Tablet
2136,Premium,13,Spain,29,Female,Tablet
2316,Premium,14,Spain,29,Female,Tablet
97,Basic,10,Brazil,29,Female,Tablet
107,Basic,14,Brazil,29,Female,Smart TV
167,Basic,13,Brazil,29,Male,Smartphone
307,Standard,11,Brazil,29,Female,Smart TV
347,Basic,14,Brazil,29,Male,Smartphone
1397,Basic,14,Brazil,29,Female,Laptop
1442,Basic,10,Brazil,29,Male,Smart TV
1487,Basic,13,Brazil,29,Male,Smartphone
1772,Basic,12,Brazil,29,Male,Smart TV
1967,Basic,13,Brazil,29,Male,Laptop
2237,Basic,13,Brazil,29,Male,Smart TV
2417,Basic,15,Brazil,29,Male,Smart TV
2492,Basic,14,Brazil,29,Female,Laptop
422,Basic,14,Canada,29,Female,Tablet
714,Premium,15,Canada,29,Male,Tablet
939,Premium,10,Canada,29,Male,Tablet
1017,Basic,10,Canada,29,Male,Smartphone
1032,Basic,15,Canada,29,Male,Smartphone
1152,Basic,11,Canada,29,Male,Smartphone
1209,Standard,11,Canada,29,Male,Tablet
1329,Standard,11,Canada,29,Male,Laptop
1479,Standard,12,Canada,29,Female,Smart TV
2082,Basic,12,Canada,29,Male,Tablet
2214,Premium,12,Canada,29,Female,Tablet
6,Premium,15,France,29,Female,Smart TV
26,Premium,15,France,29,Male,Smartphone
66,Premium,15,France,29,Male,Smartphone
86,Basic,11,France,29,Female,Smartphone
901,Basic,12,France,29,Male,Smartphone
1576,Basic,12,France,29,Female,Smartphone
1876,Basic,11,France,29,Male,Tablet
2371,Premium,15,France,29,Female,Smartphone
2431,Premium,12,France,29,Female,Smart TV
168,Standard,10,Mexico,29,Male,Tablet
978,Standard,13,Mexico,29,Male,Smart TV
1323,Standard,10,Mexico,29,Male,Smartphone
1353,Standard,13,Mexico,29,Female,Tablet
1503,Standard,10,Mexico,29,Male,Laptop
1623,Standard,12,Mexico,29,Male,Laptop
1698,Standard,12,Mexico,29,Male,Tablet
2223,Standard,12,Mexico,29,Male,Laptop
1245,Basic,14,Germany,29,Female,Smartphone
2055,Basic,14,Germany,29,Female,Laptop
34,Standard,12,Australia,29,Male,Smartphone
44,Standard,12,Australia,29,Male,Tablet
54,Standard,12,Australia,29,Male,Smartphone
64,Standard,12,Australia,29,Male,Tablet
1064,Basic,11,Australia,29,Male,Tablet
1274,Premium,12,Australia,29,Female,Smart TV
1964,Basic,15,Australia,29,Male,Smart TV
2099,Premium,11,Australia,29,Male,Laptop
2129,Premium,14,Australia,29,Female,Laptop
291,Premium,13,United States,29,Female,Tablet
311,Basic,15,United States,29,Female,Smartphone
331,Premium,14,United States,29,Female,Tablet
550,Basic,11,United States,29,Female,Tablet
565,Basic,12,United States,29,Male,Laptop
578,Standard,13,United States,29,Female,Laptop
581,Premium,10,United States,29,Female,Laptop
596,Basic,14,United States,29,Female,Smart TV
611,Basic,15,United States,29,Female,Smartphone
623,Standard,13,United States,29,Female,Smart TV
775,Basic,11,United States,29,Male,Tablet
791,Premium,15,United States,29,Male,Smartphone
833,Basic,13,United States,29,Male,Smartphone
911,Basic,13,United States,29,Male,Smart TV
1196,Basic,13,United States,29,Female,Tablet
1211,Basic,10,United States,29,Female,Laptop
1376,Premium,14,United States,29,Male,Tablet
1495,Basic,12,United States,29,Female,Tablet
1556,Premium,10,United States,29,Female,Smartphone
1736,Basic,15,United States,29,Female,Smartphone
1870,Basic,14,United States,29,Male,Tablet
1958,Basic,12,United States,29,Male,Tablet
2198,Standard,12,United States,29,Female,Smart TV
2201,Premium,12,United States,29,Male,Laptop
163,Standard,11,United Kingdom,29,Male,Laptop
598,Standard,12,United Kingdom,29,Female,Tablet
1363,Standard,11,United Kingdom,29,Male,Laptop
1993,Standard,15,United Kingdom,29,Female,Tablet
2098,Standard,15,United Kingdom,29,Female,Tablet
2488,Standard,11,United Kingdom,29,Female,Smartphone
120,Basic,10,Italy,30,Female,Smart TV
320,Basic,15,Italy,30,Female,Laptop
460,Premium,10,Italy,30,Female,Smart TV
740,Basic,14,Italy,30,Male,Tablet
830,Basic,13,Italy,30,Female,Smartphone
1355,Basic,12,Italy,30,Male,Tablet
1505,Basic,12,Italy,30,Male,Laptop
1850,Basic,12,Italy,30,Male,Smartphone
2270,Basic,14,Italy,30,Female,Smart TV
2360,Basic,13,Italy,30,Male,Tablet
2465,Basic,15,Italy,30,Male,Tablet
179,Premium,10,Spain,30,Female,Tablet
339,Premium,13,Spain,30,Female,Laptop
531,Premium,14,Spain,30,Female,Laptop
877,Basic,13,Spain,30,Male,Smart TV
1084,Standard,10,Spain,30,Male,Smartphone
1264,Standard,11,Spain,30,Female,Smart TV
1339,Standard,11,Spain,30,Male,Laptop
1534,Standard,14,Spain,30,Female,Tablet
1551,Premium,14,Spain,30,Male,Tablet
1581,Premium,15,Spain,30,Female,Smart TV
1612,Basic,11,Spain,30,Female,Smartphone
1656,Premium,10,Spain,30,Male,Smartphone
1672,Basic,15,Spain,30,Male,Tablet
1744,Premium,15,Spain,30,Female,Smart TV
1747,Basic,12,Spain,30,Female,Laptop
1821,Premium,12,Spain,30,Male,Smartphone
1956,Premium,12,Spain,30,Female,Tablet
2002,Basic,10,Spain,30,Female,Smartphone
2302,Basic,11,Spain,30,Female,Smartphone
2332,Standard,10,Spain,30,Female,Smart TV
2374,Premium,15,Spain,30,Male,Tablet
17,Basic,10,Brazil,30,Female,Laptop
157,Standard,14,Brazil,30,Male,Laptop
487,Basic,15,Brazil,30,Male,Smart TV
602,Premium,14,Brazil,30,Male,Smartphone
1277,Premium,11,Brazil,30,Male,Smartphone
1292,Basic,12,Brazil,30,Female,Smart TV
1802,Premium,12,Brazil,30,Male,Smartphone
2147,Basic,12,Brazil,30,Female,Smartphone
2297,Basic,13,Brazil,30,Female,Laptop
182,Basic,13,Canada,30,Female,Laptop
442,Basic,12,Canada,30,Female,Laptop
482,Basic,11,Canada,30,Male,Smart TV
654,Standard,12,Canada,30,Female,Smartphone
687,Premium,13,Canada,30,Female,Tablet
849,Standard,10,Canada,30,Female,Smart TV
909,Standard,14,Canada,30,Male,Tablet
1347,Basic,13,Canada,30,Male,Smart TV
1554,Standard,14,Canada,30,Female,Laptop
1677,Basic,14,Canada,30,Male,Tablet
1767,Basic,15,Canada,30,Female,Tablet
1902,Basic,15,Canada,30,Male,Smart TV
2034,Standard,12,Canada,30,Male,Laptop
2154,Standard,12,Canada,30,Male,Smart TV
2247,Basic,15,Canada,30,Male,Tablet
326,Premium,11,France,30,Male,Smartphone
396,Premium,14,France,30,Female,Smartphone
781,Premium,14,France,30,Female,Smartphone
1531,Premium,12,France,30,Female,Tablet
2191,Premium,12,France,30,Male,Smartphone
348,Standard,14,Mexico,30,Male,Smart TV
1038,Standard,12,Mexico,30,Male,Smartphone
1263,Standard,14,Mexico,30,Female,Tablet
2388,Standard,14,Mexico,30,Male,Tablet
205,Basic,12,Germany,30,Male,Smart TV
825,Basic,12,Germany,30,Female,Laptop
1050,Basic,15,Germany,30,Female,Smart TV
1710,Basic,11,Germany,30,Male,Smart TV
2175,Basic,11,Germany,30,Male,Laptop
2385,Basic,14,Germany,30,Male,Tablet
2400,Basic,10,Germany,30,Male,Laptop
539,Basic,12,Australia,30,Female,Tablet
869,Standard,15,Australia,30,Female,Tablet
1394,Standard,11,Australia,30,Female,Tablet
1514,Basic,12,Australia,30,Female,Smartphone
1559,Premium,12,Australia,30,Male,Tablet
1649,Premium,15,Australia,30,Male,Tablet
2324,Premium,13,Australia,30,Male,Smart TV
2384,Premium,14,Australia,30,Male,Smart TV
2429,Premium,11,Australia,30,Female,Smartphone
2459,Premium,12,Australia,30,Male,Smart TV
51,Premium,15,United States,30,Female,Smart TV
151,Basic,15,United States,30,Female,Laptop
251,Premium,15,United States,30,Male,Laptop
503,Standard,14,United States,30,Male,Tablet
626,Premium,10,United States,30,Male,Laptop
713,Standard,10,United States,30,Male,Laptop
731,Premium,13,United States,30,Male,Tablet
806,Premium,15,United States,30,Female,Laptop
895,Basic,10,United States,30,Male,Smartphone
1061,Basic,15,United States,30,Female,Tablet
1178,Standard,12,United States,30,Male,Smart TV
1240,Basic,11,United States,30,Female,Laptop
1270,Basic,11,United States,30,Female,Smart TV
1375,Basic,12,United States,30,Male,Laptop
1388,Standard,15,United States,30,Male,Smartphone
1433,Basic,10,United States,30,Female,Tablet
1435,Premium,12,United States,30,Male,Smartphone
1451,Premium,15,United States,30,Female,Tablet
1466,Premium,13,United States,30,Female,Smart TV
1615,Basic,11,United States,30,Female,Smart TV
1718,Standard,15,United States,30,Male,Tablet
1826,Premium,12,United States,30,Male,Tablet
1990,Basic,15,United States,30,Male,Smart TV
2081,Premium,15,United States,30,Male,Smart TV
2381,Premium,12,United States,30,Female,Laptop
2395,Basic,13,United States,30,Female,Smart TV
2423,Standard,12,United States,30,Male,Laptop
143,Standard,14,United Kingdom,30,Female,Tablet
823,Standard,15,United Kingdom,30,Male,Smartphone
1603,Standard,13,United Kingdom,30,Female,Smartphone
1978,Standard,11,United Kingdom,30,Male,Smart TV
2353,Standard,15,United Kingdom,30,Female,Laptop
2428,Standard,12,United Kingdom,30,Female,Tablet
2458,Standard,12,United Kingdom,30,Female,Smart TV
470,Basic,15,Italy,31,Female,Tablet
950,Basic,10,Italy,31,Male,Tablet
1070,Basic,15,Italy,31,Male,Tablet
1490,Basic,12,Italy,31,Male,Smartphone
1535,Basic,12,Italy,31,Female,Smart TV
1715,Basic,14,Italy,31,Female,Laptop
1790,Basic,12,Italy,31,Male,Smart TV
2000,Basic,12,Italy,31,Male,Smart TV
2090,Basic,12,Italy,31,Female,Tablet
2135,Basic,15,Italy,31,Female,Smartphone
2180,Basic,14,Italy,31,Female,Smart TV
309,Standard,11,Spain,31,Male,Smartphone
546,Premium,10,Spain,31,Male,Smart TV
577,Basic,15,Spain,31,Male,Laptop
651,Premium,13,Spain,31,Male,Tablet
664,Standard,11,Spain,31,Male,Smart TV
696,Premium,15,Spain,31,Male,Tablet
817,Basic,15,Spain,31,Female,Tablet
829,Standard,10,Spain,31,Male,Tablet
874,Premium,10,Spain,31,Male,Smart TV
1009,Standard,14,Spain,31,Female,Laptop
1312,Basic,11,Spain,31,Female,Laptop
1399,Premium,12,Spain,31,Female,Smart TV
1416,Premium,11,Spain,31,Male,Smart TV
1474,Premium,12,Spain,31,Female,Laptop
1519,Premium,14,Spain,31,Male,Tablet
1536,Premium,15,Spain,31,Female,Laptop
1552,Basic,12,Spain,31,Female,Tablet
1699,Premium,10,Spain,31,Female,Laptop
1777,Basic,12,Spain,31,Female,Tablet
1867,Basic,11,Spain,31,Male,Tablet
1969,Premium,11,Spain,31,Male,Smartphone
1987,Basic,12,Spain,31,Male,Smart TV
2044,Premium,12,Spain,31,Male,Smart TV
2059,Standard,14,Spain,31,Male,Laptop
2227,Basic,11,Spain,31,Male,Laptop
2359,Standard,13,Spain,31,Male,Laptop
2407,Standard,11,Spain,31,Female,Smartphone
2452,Basic,14,Spain,31,Female,Tablet
397,Basic,11,Brazil,31,Female,Smartphone
417,Basic,14,Brazil,31,Male,Smart TV
1052,Premium,14,Brazil,31,Male,Tablet
1112,Basic,15,Brazil,31,Female,Tablet
1337,Basic,11,Brazil,31,Female,Tablet
1847,Basic,10,Brazil,31,Female,Smartphone
1862,Basic,13,Brazil,31,Female,Tablet
1952,Premium,14,Brazil,31,Male,Smartphone
2252,Premium,12,Brazil,31,Female,Tablet
72,Basic,10,Canada,31,Female,Smartphone
102,Basic,12,Canada,31,Male,Tablet
162,Premium,15,Canada,31,Male,Laptop
202,Basic,12,Canada,31,Female,Tablet
332,Basic,14,Canada,31,Male,Tablet
362,Basic,11,Canada,31,Male,Laptop
372,Basic,11,Canada,31,Female,Tablet
777,Basic,11,Canada,31,Male,Smartphone
864,Premium,11,Canada,31,Male,Tablet
1317,Basic,11,Canada,31,Male,Tablet
1377,Basic,13,Canada,31,Male,Smart TV
1722,Basic,13,Canada,31,Male,Tablet
1977,Basic,12,Canada,31,Male,Smartphone
2079,Standard,10,Canada,31,Female,Smart TV
2289,Premium,10,Canada,31,Male,Tablet
2304,Standard,14,Canada,31,Female,Tablet
476,Premium,14,France,31,Female,Laptop
541,Premium,10,France,31,Male,Smart TV
631,Premium,14,France,31,Male,Smartphone
676,Basic,11,France,31,Male,Smartphone
1276,Basic,12,France,31,Female,Laptop
1456,Premium,14,France,31,Male,Laptop
1486,Premium,14,France,31,Male,Smartphone
1741,Premium,12,France,31,Male,Smartphone
2101,Basic,12,France,31,Male,Tablet
2206,Premium,11,France,31,Male,Smart TV
98,Standard,13,Mexico,31,Female,Tablet
308,Basic,13,Mexico,31,Male,Smart TV
588,Standard,11,Mexico,31,Male,Smartphone
693,Standard,14,Mexico,31,Female,Tablet
1368,Standard,14,Mexico,31,Female,Laptop
1713,Standard,12,Mexico,31,Female,Tablet
2058,Standard,10,Mexico,31,Female,Smartphone
2148,Standard,12,Mexico,31,Female,Tablet
455,Basic,11,Germany,31,Female,Smart TV
475,Basic,11,Germany,31,Female,Smart TV
1140,Standard,10,Germany,31,Female,Smart TV
1260,Basic,11,Germany,31,Male,Laptop
1410,Basic,14,Germany,31,Female,Tablet
2115,Standard,10,Germany,31,Female,Laptop
2370,Basic,11,Germany,31,Female,Laptop
2445,Basic,14,Germany,31,Female,Smartphone
24,Standard,12,Australia,31,Male,Tablet
494,Standard,14,Australia,31,Male,Smart TV
524,Premium,15,Australia,31,Male,Tablet
569,Standard,10,Australia,31,Female,Laptop
974,Premium,13,Australia,31,Male,Smartphone
1529,Premium,12,Australia,31,Female,Laptop
2054,Premium,10,Australia,31,Male,Tablet
11,Basic,10,United States,31,Female,Smartphone
41,Premium,15,United States,31,Female,Laptop
451,Basic,12,United States,31,Female,Laptop
685,Premium,12,United States,31,Male,Smartphone
700,Basic,12,United States,31,Female,Laptop
743,Standard,15,United States,31,Female,Laptop
835,Premium,12,United States,31,Male,Laptop
880,Basic,11,United States,31,Male,Smart TV
881,Premium,11,United States,31,Female,Smartphone
1073,Standard,11,United States,31,Male,Smart TV
1090,Basic,14,United States,31,Male,Smart TV
1705,Basic,14,United States,31,Female,Tablet
1856,Premium,15,United States,31,Female,Smartphone
2260,Premium,10,United States,31,Male,Tablet
2291,Premium,11,United States,31,Female,Laptop
898,Standard,11,United Kingdom,31,Female,Tablet
1813,Standard,12,United Kingdom,31,Female,Smartphone
1963,Standard,15,United Kingdom,31,Male,Smart TV
170,Basic,14,Italy,32,Male,Laptop
755,Basic,13,Italy,32,Male,Tablet
1190,Basic,15,Italy,32,Male,Laptop
1415,Basic,11,Italy,32,Female,Smart TV
2330,Basic,12,Italy,32,Female,Smartphone
2405,Basic,12,Italy,32,Female,Smart TV
19,Premium,15,Spain,32,Female,Smart TV
319,Premium,14,Spain,32,Female,Smartphone
727,Basic,11,Spain,32,Female,Laptop
757,Standard,11,Spain,32,Male,Laptop
786,Premium,13,Spain,32,Male,Smart TV
906,Premium,13,Spain,32,Male,Smart TV
1102,Basic,15,Spain,32,Female,Smartphone
1206,Premium,13,Spain,32,Male,Smart TV
1237,Basic,11,Spain,32,Female,Tablet
1461,Premium,11,Spain,32,Male,Smart TV
1504,Standard,11,Spain,32,Male,Smart TV
1522,Basic,10,Spain,32,Female,Laptop
1701,Premium,15,Spain,32,Male,Smart TV
1716,Premium,11,Spain,32,Male,Smart TV
1864,Standard,15,Spain,32,Male,Smartphone
2016,Premium,10,Spain,32,Female,Smart TV
2107,Standard,14,Spain,32,Female,Smart TV
2164,Standard,10,Spain,32,Female,Smartphone
2331,Premium,13,Spain,32,Male,Smart TV
327,Basic,12,Brazil,32,Female,Smartphone
367,Basic,13,Brazil,32,Male,Laptop
512,Basic,15,Brazil,32,Male,Tablet
647,Basic,15,Brazil,32,Male,Smart TV
1067,Basic,14,Brazil,32,Female,Tablet
1157,Basic,14,Brazil,32,Male,Smart TV
1382,Basic,13,Brazil,32,Female,Smart TV
1937,Basic,14,Brazil,32,Male,Smart TV
2057,Basic,10,Brazil,32,Male,Smartphone
472,Basic,10,Canada,32,Female,Tablet
504,Standard,12,Canada,32,Female,Laptop
522,Basic,14,Canada,32,Female,Tablet
699,Standard,13,Canada,32,Female,Smartphone
897,Basic,14,Canada,32,Female,Laptop
987,Premium,11,Canada,32,Female,Tablet
1257,Basic,14,Canada,32,Male,Smart TV
1284,Standard,12,Canada,32,Female,Tablet
1344,Premium,11,Canada,32,Female,Smartphone
1527,Basic,15,Canada,32,Female,Smart TV
1917,Basic,14,Canada,32,Female,Tablet
2019,Premium,10,Canada,32,Female,Laptop
2259,Standard,11,Canada,32,Female,Laptop
96,Premium,14,France,32,Male,Laptop
406,Premium,12,France,32,Female,Smartphone
856,Premium,10,France,32,Female,Smart TV
1186,Premium,13,France,32,Female,Smart TV
1291,Premium,10,France,32,Female,Laptop
1636,Premium,10,France,32,Female,Smart TV
38,Standard,12,Mexico,32,Male,Smartphone
48,Standard,12,Mexico,32,Male,Tablet
468,Standard,11,Mexico,32,Male,Smart TV
478,Standard,10,Mexico,32,Male,Laptop
1608,Standard,11,Mexico,32,Female,Smart TV
1653,Standard,13,Mexico,32,Male,Smartphone
1968,Standard,12,Mexico,32,Female,Tablet
2103,Standard,14,Mexico,32,Female,Laptop
2193,Standard,12,Mexico,32,Male,Laptop
2298,Standard,12,Mexico,32,Male,Tablet
265,Basic,11,Germany,32,Female,Smart TV
325,Basic,13,Germany,32,Male,Tablet
